id,name,description,material,image_Path,icon,category
34,"混ぜてチレンチン！
濃厚フォンダンショコラ
","1.材料を全て入れてよく混ぜる
2.容器に生地を流し込んで高カカオチョコを入れる
3.600w1分チンして完成
(表面の生感が気になる場合には+20秒レンチン)
","☆卵   １個
☆米粉  大さじ1.5
☆ココアパウダー  大さじ1.5
☆はちみつ  大さじ1
☆ベーキングパウダー  小さじ1/2
・高カカオチョコ  1～2枚",34.png,,③
35,"罪悪感ゼロ！
紅茶クッキー","1.材料全部入れて混ぜながらひとつにまとめる
2.麺棒で薄く伸ばす
3.表面に焼き目がつくまでレンチンして完成
(目安：600wレンチン3～4分ほど）","☆紅茶パック  2袋
☆米粉  60ｇ
☆卵  40ｇ
☆はちみつ  15ｇ",35.png,,③
36,"混ぜて冷やすだけ
ぷるぷるコーヒーゼリー
","1.材料を全て入れてよく混ぜる
2.容器に入れて冷蔵庫で2時間ほど冷やして完成
(はちみつの量はお好みで調整)","・お湯  170ml
・コーヒー  小さじ2
・ゼラチン  3ｇ
・はちみつ　小さじ2",36.png,,③
37,"ダイエット中に！
ヨーグルトチーズケーキ
","1.材料をすべて混ぜる
2.クッキングシートを敷いた耐熱容器に入れる
3.レンチン500w4分4.冷蔵庫で冷やして完成","・ヨーグルト(無糖)　100g
・卵　1個
・てんさい糖　15g
・米粉　10g",37.png,,③
38,"チンして冷やすだけ！
簡単濃厚チョコブラウニー","1.材料全部入れてよく混ぜる
2.耐熱容器にクッキングシートを敷いて生地を流す
3.好きなトッピングをのせる
4.600w 3分レンチンして冷蔵庫で冷やしたら完成","・豆腐　100g
・ココアパウダー　大さじ1
・米粉　大さじ2
・はちみつ　15～20g
・好きなトッピング　お好みで",38.png,,③
39,"罪悪感無く食べたい！
腸活きなこチョコ
","1.材料全部混ぜる
2.好きな型や容器に流し込む
3.冷蔵庫で30分以上冷やして完成","・きな粉  20g
・ココナッツオイル   20g
・はちみつ  10g",39.png,,③
40,"グルテンフリー
揚げないドーナツ","1.☆の材料全て入れてよく混ぜる
2.ドーナツ型に流し込む
3.500w3分レンチンして完成","☆卵   １個
☆米粉 40g
☆無調整豆乳  30ml
☆はちみつ  大さじ1
☆ココアパウダー  大さじ1
☆ベーキングパウダー  3g",40.png,,③
41,"ご飯が止まらない
豚もやしピーマン","1.レンチンOKな容器に☆の材料を入れる
2.レンジで600W7分レンチン
3.片栗粉を入れる
4.全体を混ぜて完成","☆豚肉　100g
☆料理酒 大さじ2
☆もやし 1/2袋
☆ピーマン 1個
☆鶏ガラ 小さじ2
☆みりん 大さじ1
☆醤油 大さじ1/2
☆ニンニクチューブ 小さじ1
・片栗粉 小さじ2",41.png,,②
42,簡単醤油ソーメン,"1.☆の調味料を合わせて600w2分加熱
2.そうめんとトッピングの具をのせる
※かつお節はたっぷり入れてください","・そうめん　1輪
☆水　200ml
☆鶏ガラ　小さじ1
☆ごま油　小さじ1
☆醤油　大さじ1
☆みりん　大さじ1
☆コチュジャン　小さじ1/3
☆ニンニクチューブ　小さじ1/3
☆砂糖　小さじ1/3
・トッピング お好みで",42.png,,④
43,"グルテンフリー
お豆腐ピザパン","1.豆腐は水切りしてダマがなくなるまでよく混ぜる
2.残りの☆を入れて1つにまとめながら混ぜる
3.2つに分けて平たくして中心にくぼみをつける
4.トッピングしたら600w2分レンチンして完成
","・豆腐   100ｇ
☆米粉  80ｇ
☆ベーキングパウダー  3g
・トッピングはお好みで",43.png,,④
44,"レンジ一撃！
鶏肉のみぞれ煮
","1.耐熱容器に大根をすりおろして入れる
2.大根に鶏肉を沈める
3.ふんわりラップしてレンジ600w6分加熱
4.全体を混ぜて小ネギを散らしたら完成
","・大根　1/8本
・鶏肉　250～300g
・めんつゆ(3倍濃縮)　大さじ3
・酢　大さじ1
・ごま油　大さじ1/2
・小ネギ　適量",44.png,,②
45,"レンチン5分で簡単
豚バラもやし
","1.耐熱容器に・の材料を入れる
2.ふんわりラップで600w5分加熱
3.その間に☆の材料を混ぜておく
4.たれと△をお好みでかけて完成
","・豚肉　120g
・もやし　1袋
・豆苗　1袋
△ごま　適量
△ブラックペッパー　適量
△ネギ　適量
☆ポン酢　大さじ2
☆コチュジャン　小さじ2
☆ごま油　小さじ1
☆ニンニクチューブ　小さじ1",45.png,,②
46,"小腹がすいたらこれ食べて！
脂肪燃焼スープ
","1.わかめを水で戻す
2.★の材料を入れる
3.レンジで１分加熱する
4.ごまをかけたら完成","☆豆腐　1パック
☆キムチ　30ｇ
☆乾燥わかめ　大さじ1
☆鶏ガラ　小さじ1
☆お湯　200ml
・ごま　適量",46.png,,②
47,"抱えて食べたい！？
豆苗と卵のナムル","1.豆苗を袋に入れてレンジ500W1分加熱
2.水気を切る
3.すべての材料を入れる
4.全体をよく混ぜ完成
","・豆苗　1袋
・カニカマ　5本
・鶏ガラ　小さじ1
・ごま油　小さじ1
・いりごま　大さじ1/2
・ゆで卵　2個",47.png,,②
48,"揚げずにヘルシー
のり塩チップス","1.ライスペーパーを水に軽く浸す
2.クッキングシートの上に置く
3.オイルを少量塗り広げる
4.青のりと塩をかける
5.600w2分ほどレンチンして完成","・ライスペーパー　1枚
・青のり　適量
・塩　適量
・好きなオイル　少量",48.png,,⑤
49,"レンチン1発高見えご飯
卵と豆腐のキッシュ","1.絹豆腐と卵を入れてなめらかになるまで混ぜる
2.コンソメ・塩胡椒を入れてまた混ぜる
3.ピザ用チーズ・ブロッコリー・海老を乗せる
4.ラップをしてレンジ600w5分加熱して完成","・豆腐　150g
・卵　1個
・コンソメ　小さじ1
・塩胡椒　5振りくらい
・チーズ　ふたつかみくらい
・ブロッコリー　適量
・海老　適量",49.png,,②
